COUNT,House Amount (in thousands),Senate Amount (in thousands),Final Amount (in thousands),Program Increase,Floor Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$7,000",$0,$0,Naval Integrated Fire Control â€“ Counter Air Systems Engineering for the Stratospheric Balloon Research Program,112.0,Johnson (SD),No,Yes,No,Nav Integrated Fire Control - Counter Air Sys E,,Navy,RDT&E,"RDT&E, Navy"
,"$6,500","$6,500","$6,500",Cyber supply chain risk management,111.0,Franklin (FL),No,No,No,Information Technology Development,,Navy,RDT&E,"RDT&E, Defense Wide"
,"$10,000",$0,$0,for critical and emerging technologies,110.0,Franklin (FL),No,No,No,,,Navy,RDT&E,"RDT&E, Navy"
,"$4,000",$0,$0,"to enhance optoelectronic technology research -- This research supports the increasing need for lightweight, low-cost, and durable expeditionary power sources for warfighters to power their electronic equipment when deployed",109.0,Ezell (MS),No,Yes,No,,,Navy,RDT&E,"Defense Working Capital Fund, Revolving and Management Funds"
,"$5,000",$0,$0,to enable expansion of terrain capabilities and power management of Q-UGVs to enhance the individual warfighter and reduce the cognitive load,108.0,Wilson (SC),No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$15,000",$0,"$4,000",for the integration and demonstration of Quadruped Unmanned Ground Vehicles / quadrupled unmanned ground vehicles,107.0,Scanlon (PA),No,Yes,No,Ground Technology,,Army,RDT&E,"RDT&E, Army"
,"$100,000",$0,$0,Defense Wide RDT&E,106.0,Moylan (GU),No,No,No,,,Defense Wide,RDT&E,"RDT&E, Defense Wide"
,"$5,600",$0,$0,to emphasize the need to protect and expand our domestic capacity to manufacture and develop organic LED micro displays,105.0,Morelle (NY),No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$5,000",$0,"$5,000",highlighting Congress' intent for continued support of the Advanced Air Mobility industry / advanced air mobility,104.0,Molinaro (NY),No,Yes,No,Future Vertical Lift Advanced Technology,,Army,RDT&E,"Army, RDT&E"
,"$3,000",$0,$0,for the development of advanced ultra-high-molecularweight polyethylene (UHMWP) to decrease armor application weight and increase material performance,103.0,"Mills (FL), McClellan (VA), Joyce (OH)",No,Yes,No,Soldier Lethality Advanced Technology,,Army,RDT&E,"RDT&E, Army"
,"$7,000",$0,$0,in-house and single source awarded funding for applied research into source characterization and recovery of Rare Earth Element domestic reserves,102.0,Miller (WV),No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$8,400",$0,$0,"for Micro-LED Soldier System Display Prototype to support the design, development, and delivery of the U.S. Army’s next generation full-color LED micro-display prototype, specifically tailored for dismounted soldier applications",101.0,"McGovern (MA), Fitzpatrick (PA)",No,Yes,No,Night Vision Systems Advanced Development,,Army,RDT&E,"RDT&E, Army"
,"$8,000","$4,000","$4,000",for RNA Therapeutics for Infectious Disease Threats to advance Investigational New Drug (IND) applications for customized RNAs to treat hemorrhagic fever viruses / RNA theraputics for infectious disease threats,100.0,McGovern (MA),No,Yes,No,Medical Technology,,Army,RDT&E,
,"$20,000",$0,$0,for Wire-Arc Additive Manufacturing (WAAM) for Environmental Technology Quality to accelerate transition to manufacturing technologies that eliminate hazardous materials,99.0,McGovern (MA),No,No,No,Environmental Quality Technology -- Dem/Val,,Army,RDT&E,"RDT&E, Army"
,"$20,000",$0,$0,for Command Platform Modernization to develop advanced materials and technology that support the Expeditionary Maneuver Support Mission and more mobile and protected forward deployed units,98.0,McGovern (MA),No,Yes,No,Network C3I Advanced Technology,,Army,RDT&E,"RDT&E, Army"
,"$11,000",$0,$0,for Autonomous Vehicle Mobility to modernize combat vehicles for multidomain operations,97.0,McGovern (MA),No,No,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,"RDT&E, Army"
,"$5,000",$0,$0,"for continued planning, integration, and qualification of the engine enhancement on the CH-47 Chinook platform to enable the implementation of Reliability, Availability, and Maintainability improvements to the legacy engine and increase aircraft flight performance for the CH-47",96.0,"Lesko (AZ), Ciscomani (AZ), Stanton (AZ), Davis (NC)",No,Yes,No,Chinook Product Improvement Program,,Army,RDT&E,"RDT&E, Army"
,"$10,000",$0,$0,to ensure the Army's plan for spending the funds meets congressional intent,95.0,Hudson (NC),No,No,No,,,Army,RDT&E,"RDT&E, Army"
,"$10,000",$0,$0,"Army Pathfinder program for Human-Machine Teaming -- Builds the cross-communication and cooperation between human and technology needed to leverage AI, decision support, and machining to increase the effectiveness, efficiency, and lethality of the individual soldier",94.0,Hern (OK),No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,"RDT&E, Army"
,"$3,000",$0,$0,"to support the Forward Infrastructure and Reconnaissance Engineering program, which would study the use of unmanned aerial vehicles for critical infrastructure assessments in difficult environments through the U.S. Army Engineer Research and Development Center",93.0,"Guest (MS), Kelly (MS), Ezell (MS)",No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$8,000",$0,$0,Synthetic Training Equipment within the Army Futures Command/Cross Functional Team Program,92.0,Fischbach (MN),No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$7,000",$0,$0,"to support a project to assist the ARL with accelerated, multifunctional material design and scaled hybrid manufacturing for harsh and extreme environments",91.0,Dunn (FL),No,Yes,No,,,Army,RDT&E,"RDT&E, Army"
,"$4,300",$0,$0,to construct a replacement facility to protect equipment and munitions at Joint Base Elmendorf-Richardson (JBER),89.0,"LaHood (IL), Peltola (AK), Sorenson (IL)",No,Yes,No,,"Other Procurement, Air Force",Air Force,Procurement,"Other Procurement, Air Force"
,"$150,000",$0,$0,One LC-130J,88.0,"Tenny (NY), Tonko (NY), Morelle (NY)",No,Yes,No,C-130J,"Aircraft Procurement, Air Force",Air Force,Procurement,"Aircraft Procurement, Air Force"
,"$10,000",$0,"$5,000",Additive Manufacturing Casting,87.0,"Joyce (PA), Thompson (PA)",No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,"O&M, Defense Wide"
,$750,$0,$0,Aviation Status Dashboards,86.0,Titus (NV),No,Yes,No,,,National Guard and Reserve Equipment Fund,Procurement,"Other Procurement, Army"
,"$2,500",$0,$0,"would allow Defensive CYBER - Software Prototype Development, to develop fieldable AI-based Defensive Cyber Operations (DCO) to detect cyber intrusions and data manipulation utilizing the U.S. Army Garrison Defense Platform",84.0,"Lamborn (CO), Cartwright (PA)",No,No,No,C3I Cyber Advanced Development,,Army,RDT&E,"Environmental Restoration, Army"
,"$6,000",$0,$0,talent and technology for Navy power and energy systems,83.0,Wilson (SC),No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,"O&M, Defense Wide"
,"$16,500",$0,$0,Hypersonic Advanced Composites Manufacturing,82.0,Wilson (SC),No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,"O&M, Defense Wide"
,"$10,000",$0,"$3,500",Rapid Additive Manufacturing Critical Hardware / rapid additive manufacturing,81.0,"Wasserman Schultz (FL), Mast (FL)",No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,"O&M, Defense Wide"
,"$2,500",$0,"$2,500",Metals Affordability Initiative,80.0,Turner (OH),No,Yes,No,Advanced Materials for Weapons Systems,,Air Force,RDT&E,"O&M, Defense Wide"
,"$6,000",$0,$0,manufacturing technology program,79.0,"Trahan (MA), Kelly (PA)",No,No,No,Manufacturing Technology Program,,Defense Wide,RDT&E,"O&M, Defense Wide"
