COUNT,House Amount (in thousands),Senate Amount (in thousands),Final Amount (in thousands),Program Increase,Floor Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$200,000",$0,"$200,000",APFIT,,,No,No,No,"Major Equipment, OSD","Procurement, Defense Wide",Defense Wide,Procurement,
,$0,"$37,200","$200,000",E-7,,,No,No,Air Force,E-7,,Air Force,RDT&E,
,$0,"$177,500","$177,500",Additional helicopters,,,No,No,No,CH-47 Helicopter,"Aircraft Procurement, Army",Army,Procurement,
,"$168,532","$171,319","$167,042",Program increase,,,No,Yes,No,Classified Program USD(P),,Defense Wide,RDT&E,
,"$50,000","$160,000","$160,000",Enhanced Night Vision Goggle--Binocular (ENVG-B),,,No,No,No,Night Vision Devices,"Other Procurement, Army",Army,Procurement,
,$0,"$155,000","$155,000",Program increase,,,No,No,No,Family of Heavy Tactical Vehicles (FHTV),"Other Procurement, Army",Army,Procurement,
,"$120,000",$0,"$140,000",Program increase,,,No,Yes,No,ARNG HMMWV Modernization Program,"Other Procurement, Army",Army,Procurement,
,"$134,000",$0,"$134,000",DIU and service Non-traditional Innovation Fielding Enterprise,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,$0,"$132,000","$132,000",F-35A engine spares,,,No,No,No,Initial Spares/Repair Parts,"Aircraft Procurement, Air Force",Air Force,Procurement,
,$0,"$132,000","$132,000",F-35B/C engine spares,,,No,No,No,Spares and Repair Parts,"Aircraft Procurement, Navy",Navy,Procurement,
,$0,$0,"$124,615",Program increase,,,Yes,No,No,Standard Boats,"Other Procurement, Navy",Navy,Procurement,
,$0,"$120,000","$120,000",Next generation HMMWVV shop equipment contact maintenance vehicle,,,No,Yes,No,Mobile Maintenance Equipment Systems,"Other Procurement, Army",Army,Procurement,
,$0,"$118,800","$118,800",Navy Unique Fleet Essential Airlift Logistics KC-130J (+1 A/C Reserve),,,No,Yes,Navy,KC-130J,"Aircraft Procurement, Navy",Navy,Procurement,
,$0,$0,"$114,000",CH-53 initial and outfitting spares,,,Yes,No,Marine Corps,Spares and Repair Parts,"Aircraft Procurement, Navy",Navy,Procurement,
,"$90,000",$0,"$105,000",hypersonic test facility,,,No,No,No,Central Test and Evaluation Investment Development (CTEIP),,Defense Wide,RDT&E,
,$0,"$211,500","$100,000",Additional Three-Dimensional Expeditionary Long Range Radars,,,No,No,NORTHCOM,3D Expeditionary Long-Range Radar,"Other Procurement, Air Force",Air Force,Procurement,
,$0,$0,"$100,000",GBSD construction and prototyping acceleration,,,No,No,No,Ground Based Strategic Deterrent EMD,,Air Force,RDT&E,
,$0,$0,"$100,000",GBSD industrial base support,,,No,No,No,Ground Based Strategic Deterrent EMD,,Air Force,RDT&E,
,"$100,000",$0,"$100,000",biotechnology manufacturing institutes,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,$0,$0,"$90,000",Program increase,,,Yes,Yes,No,ATRT Enterprise Rapid Capability,,Navy,RDT&E,
,$0,"$50,000","$90,000",SLCM-N,,,No,Yes,No,Precision Strike Weapons Development Program,,Navy,RDT&E,
,"$88,300",$0,"$88,300",Abrams modernization,,,No,No,No,Combat Vehicle Improvement Programs,,Army,RDT&E,
,"$205,000",$0,"$86,000",program increase,,,No,No,No,Paladin Integrated Management (PIM),"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,"$80,000",$0,"$80,000",additional vehicles,,,No,No,No,Stryker Upgrade,"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,$0,"$80,000","$80,000",Additional NSSL payload processing facility,,,No,Yes,No,National Security Space Launch Program (SPACE)--EMD,,Space Force,RDT&E,
,$0,$0,"$79,000",Program increase,,,Yes,No,No,Medium Unmanned Surface Vehicles (MUSVS),,Navy,RDT&E,
,$0,$0,"$74,400",SOCOM operational loss,,,Yes,No,,MH-47 Chinook,"Procurement, Defense Wide",Defense Wide,Procurement,
,$0,"$72,000","$72,000",Additional APL,,,No,No,No,Auxiliary Personnel Lighter,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$68,000",$0,"$68,000",MQ-1C Gray Eagle 25M capability improvement,,,No,Yes,No,Gray Eagle Mods2,"Aircraft Procurement, Army",Army,Procurement,
,$0,$0,"$65,000",defense innovation onramp hubs,,,Yes,Yes,No,Defense Innovation Unit (DIU),,Defense Wide,RDT&E,
,"$120,000",$0,"$60,000",additional aircraft for the National Guard,,,No,Yes,,UH-60 Blackhawk M Model (MYP),"Aircraft Procurement, Army",Army,Procurement,
,"$31,000",$0,"$58,000",next generation surface search radar additional units,,,No,No,No,In-Service Radars and Sensors,"Other Procurement, Navy",Navy,Procurement,
,$0,"$57,053","$57,053",Unfunded requirement for 3 UC-12W(ER) with Cargo Door and Initial Spares,,,No,Yes,No,UC-12W(ER),"Aircraft Procurement, Navy",Navy,Procurement,
,$0,"$55,000","$55,000",Over the Horizon Radar capability acceleration,,,No,Yes,NORTHCOM,Over-the-Horizon Backscatter Radar,,Air Force,RDT&E,
,$0,$0,"$55,000",quantum,,,Yes,Yes,No,Defense Innovation Unit (DIU) Prototyping,,Defense Wide,RDT&E,
,"$55,000",$0,"$55,000",Adaptive Airborne Enterprise,,,No,No,SOCOM,MQ-9 UAV,,Defense Wide,RDT&E,
,$0,$0,"$52,227",Program increase,,,Yes,Yes,No,Lethal Miniature Aerial Missle System (LMAMS),"Missile Procurement, Army",Army,Procurement,
,$0,"$50,000","$50,000",Frigate industrial base and work-force development,,,No,Yes,No,FFG-Frigate,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$50,000",$0,"$50,000",second source rocket motor,,,No,Yes,No,Standard Missile,"Weapons Procurement, Navy",Navy,Procurement,
,"$50,000",$0,"$50,000",management innovation pilot,,,No,Yes,No,Chief Digital and Artificial Intelligence Officer (CDAO) - Dem/Val Activities,,Defense Wide,RDT&E,
,$0,$0,"$50,000",CsUAS,,,Yes,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,"$50,000",$0,"$50,000",drones for multi-domain awareness / long endurance USVs for multi-domain awareness,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,$0,"$174,000","$50,000",Joint Fires Network (JFN),,,No,Yes,INDOPACOM,JADC2,,Defense Wide,RDT&E,
,"$47,500","$47,500","$47,500",anti-tunneling,,,No,Yes,No,Combating Terrorism Technology Support,,Defense Wide,RDT&E,
,$0,$0,"$43,900",SOCOM operational loss,,,Yes,No,No,CH-47 Helicopter,"Aircraft Procurement, Army",Army,Procurement,
,$0,"$43,200","$43,200",DDG(X) design tool,,,No,Yes,No,Ship Preliminary Design & Feasibility Studies,,Navy,RDT&E,
,"$41,800",$0,"$41,800",Project Pete,,,No,Yes,No,Advanced Innovative Technologies,,Defense Wide,RDT&E,
,"$33,932","$40,600","$40,613",CUAS group 3 defeat acceleration / Counter-unmanned systems capabilities,,,No,Yes,SOCOM,Warrior Systems <$5M,"Procurement, Defense Wide",Defense Wide,Procurement,
,"$40,000","$40,000","$40,000",active protection systems,,,No,Yes,No,Bradley Program (MOD),"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,"$40,000",$0,"$40,000",IFPC-HPM,,,No,No,No,Expanded Mission Area Missile (EMAM),,Army,RDT&E,
,"$40,000","$40,000","$40,000",C-UAS development including directed energy and laser technology / C-UAS development / cooperative C-UAS development including directed energy and laser technology,,,No,Yes,No,Combating Terrorism Technology Support,,Defense Wide,RDT&E,
,$0,"$40,000","$40,000",Common use technology maturation,,,No,Yes,No,Precision Strike Weapons Development Program,,Navy,RDT&E,
,$0,"$40,000","$40,000","CCMD direct commercial surveillance, reconnaissance and tracking services",,,No,Yes,No,Comercial Services,,Space Force,RDT&E,
,$0,"$38,429","$38,429",Additional systems only for operational demonstration / additional systems only to conduct scaled operational demonstration,,,No,No,No,Night Vision Systems--Eng Dev,,Army,RDT&E,
,"$35,000",$0,"$35,000",hypersonic test range infrastructure,,,No,Yes,No,Lethality Advanced Technology,,Army,RDT&E,
,"$35,000",$0,"$35,000",commercially available large diameter unmanned undersea vehicle technology,,,No,Yes,No,"Rapid Prototyping, Experimentation and Demonstration",,Navy,RDT&E,
,$0,"$33,000","$33,000",Hydra 70 rockets,,,No,No,No,"Rocket, Hydra 70, All Types","Procurement of Ammunition, Army",Army,Procurement,
,"$32,500",$0,"$32,500",low-cost attritable aircraft technology,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,$0,$0,"$31,000",Program increase,,,Yes,No,,Ground Based Air Defense,"Procurement, Marine Corps",Navy,Procurement,
,"$30,000",$0,"$30,000",hearing protection,,,No,Yes,No,"Major Equipment, OSD","Procurement, Defense Wide",Defense Wide,Procurement,
,"$21,300","$30,000","$30,000",Additional YRBM,,,No,No,No,Service Craft,"Shipbuilding and Conversion, Navy",Navy,Procurement,
,"$30,000",$0,"$30,000",hybrid electric propulsion,,,No,No,No,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,"$30,000",$0,"$30,000",common hypersonic glide body,,,No,No,No,Hypersonics EMD,,Army,RDT&E,
,"$28,500",$0,"$28,500",infrastructure improvements,,,No,No,No,Facilities Restoration and Modernization - Test and Evaluation Support,,Air Force,RDT&E,
,$0,"$28,132","$28,132","Long duration, broad-area, multisensor capability",,,No,Yes,No,Aerospace Technology Dev/Demo,,Air Force,RDT&E,
,$0,$0,"$26,263",C-UAS enhancements,,,Yes,No,Army,Manuever - Short Range Air Defense (M-SHORAD),,Army,RDT&E,
,$0,"$26,000","$26,000",Expeditionary shelter protection system,,,No,Yes,No,Force Provider,"Other Procurement, Army",Army,Procurement,
,"$15,000","$7,500","$25,000",Program increase,,,No,No,No,"Ctg, 7.62mm, All Types","Procurement of Ammunition, Army",Army,Procurement,
,"$25,000",$0,"$25,000",future flag JADC2 operational experimentation testbed,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,$0,"$25,000","$25,000",High performance computing enabled large-scale manufacturing,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,"$25,000",$0,"$25,000",reusable hypersonic flight testing,,,No,Yes,No,Hypersonic Defense,,Defense Wide,RDT&E,
,"$25,000",$0,"$25,000",centers for academic excellence,,,No,Yes,No,Information Systems Security Program,,Defense Wide,RDT&E,
,"$25,000",$0,"$25,000",MTUAS / multi-mission tactical unmanned aerial system,,,No,No,,Intelligence Systems Development,,Defense Wide,RDT&E,
,$0,"$25,000","$25,000",Space testing facilities,,,No,Yes,No,Test & Evaluation Science & Technology,,Defense Wide,RDT&E,
,"$25,000",$0,"$25,000",solid fuel ramjet demonstration,,,No,Yes,No,Anti-Radiation Missile Improvement,,Navy,RDT&E,
,"$25,000",$0,"$25,000",modular missile system technology,,,No,No,No,Force Protection Advanced Technology,,Navy,RDT&E,
,$0,"$50,000","$25,000",Alternative energy research,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,$0,"$25,000","$25,000",Advanced composite shaft design,,,No,Yes,No,Ohio Replacement,,Navy,RDT&E,
,"$25,000",$0,"$25,000",hypersonic rocket skin,,,No,Yes,No,Warfighter Sustainment Applied Research,,Navy,RDT&E,
,"$7,000","$25,000","$25,000",state launched range services and capabilities / state space launched range services and capabilities,,,No,Yes,No,Rocket Systems Launch Program (Space),,Space Force,RDT&E,
,"$24,500",$0,"$24,500",domestic organic light emitting diode microdisplay manufacturing,,,No,Yes,No,Industrial Base Analysis and Sustainment Support,,Defense Wide,RDT&E,
,"$24,000",$0,"$24,000",stand-off precision guided munitions,,,No,No,No,Warrior Systems,,Defense Wide,RDT&E,
,"$23,000",$0,"$23,000",autonomous VTOL air logistics,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,"$22,868","$7,500","$22,868",Program increase,,,No,No,No,"Ctg, .50 Cal, All Types","Procurement of Ammunition, Army",Army,Procurement,
,$0,"$25,000","$22,000",Innovative projects for B-52 modernization,,,No,Yes,No,B-52 Squadrons,,Air Force,RDT&E,
,"$21,500",$0,"$21,500",Block II development,,,No,Yes,No,Blackhawk Product Improvement Program,,Army,RDT&E,
,$0,"$21,000","$21,000",Ultra-Lightweight Camouflage Net System,,,No,Yes,Marine Corps,Items Less Than $5 Million,"Procurement, Marine Corps",Navy,Procurement,
,"$21,000",$0,"$21,000",C5ISR next generation flexible digital antenna,,,No,Yes,No,Network C3I Advanced Technology,,Army,RDT&E,
,"$21,000",$0,"$21,000",extended range high speed aerial loitering munitions,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,$0,"$20,000","$20,000",Improved modular airborne fire-fighting system,,,No,Yes,No,C-130,"Aircraft Procurement, Air Force",Air Force,Procurement,
,$0,"$20,000","$20,000",Submarine cradles to mitigate seismic risk during dry dock availabilities,,,No,Yes,No,Operating Forces Ipe,"Other Procurement, Navy",Navy,Procurement,
,"$20,000",$0,"$20,000",Agility Prime,,,No,No,No,AFWERX Prime,,Air Force,RDT&E,
,"$20,000",$0,"$20,000",antenna form factor development for assured communications and networks,,,No,Yes,No,Battlespace Knowledge Development and Demonstration,,Air Force,RDT&E,
,"$20,000",$0,"$20,000",secure quantum computing facility,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,$0,"$20,000","$20,000",University-based quantum materials applied research,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$20,000",$0,"$20,000",classified additive manufacturing,,,No,No,No,Manufacturing Technology Program,,Air Force,RDT&E,
,$0,"$20,000","$20,000",Digital part transformation to support operational readiness,,,No,Yes,No,Rapid Sustainment Modernization [RSM],,Air Force,RDT&E,
,"$20,000",$0,"$20,000",advanced multilayered mobile force protection,,,No,Yes,No,Air and Missile Defense Advanced Technology,,Army,RDT&E,
,"$20,000",$0,"$20,000",high energy laser range in a box,,,No,Yes,No,Air and Missile Defense Technology,,Army,RDT&E,
,"$20,000",$0,"$20,000",high bandwidth cryptomodule,,,No,Yes,No,C3I Cyber Advanced Development,,Army,RDT&E,
,"$20,000",$0,"$20,000",VTOL rotor blade efficiency enhancements,,,No,Yes,No,Future Vertical Lift Advanced Technology,,Army,RDT&E,
,"$20,000",$0,"$20,000",prototype integration,,,No,No,No,Landmine Warfare/Barrier - Eng Dev,,Army,RDT&E,
,"$5,000","$20,000","$20,000",advanced materials and manufacturing for modernization,,,No,Yes,No,Lethality Technology,,Army,RDT&E,
,"$20,000",$0,"$20,000",XM1155 glide flight projectile,,,No,Yes,No,Long Range Precision Fires Advanced Technology,,Army,RDT&E,
,$0,"$20,000","$20,000",DEPSCoR,,,No,Yes,No,Basic Research Initiatives,,Defense Wide,RDT&E,
,"$20,000",$0,"$20,000",advance rocket propulsion,,,No,Yes,No,Defense Innovation Unit (DIU) Prototyping,,Defense Wide,RDT&E,
,$0,"$20,000","$20,000",Program increase,,,No,No,No,Operational Energy Capability Improvement,,Defense Wide,RDT&E,
,$0,"$20,000","$20,000",Hypersonic wave heat facilities,,,No,Yes,No,Test & Evaluation Science & Technology,,Defense Wide,RDT&E,
,$0,"$20,000","$20,000",Enhanced L-band and UHF for E-2D,,,No,Yes,No,Advanced Hawkeye,,Navy,RDT&E,
,$0,$0,"$20,000",naval research laboratory facilities SRM,,,Yes,No,No,"Management, Technical & International Support",,Navy,RDT&E,
,$0,"$50,000","$20,000",Maritime Targeting Cell-Afloat development,,,No,No,Navy,Maritime Targeting Cell,,Navy,RDT&E,
,$0,"$20,000","$20,000",Partnerships for submarine and undersea vehicle programs,,,No,Yes,No,Undersea Warfare Applied Research,,Navy,RDT&E,
,"$20,000",$0,"$20,000",AI/ML for automated EW sensors,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,"$20,000",$0,"$20,000",MCWL ground-based ESM,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,"$20,000",$0,"$20,000",Program increase,,,No,No,No,Tactically Response Space,,Space Force,RDT&E,
,"$19,500","$5,000","$19,500",operationalizing additive manufacturing for sustainment and modernization research,,,No,Yes,No,Manufacturing Technology Program,,Air Force,RDT&E,
,"$19,100",$0,"$19,100",intelligent gateway,,,No,Yes,No,KC-135S,,Air Force,RDT&E,
,$0,"$19,000","$19,000",Energetics capacity for solid rocket motors,,,No,Yes,No,Weapons Industrial Facilities,"Weapons Procurement, Navy",Navy,Procurement,
,$0,"$18,000","$18,000",Certification for advanced materials,,,No,Yes,No,Advanced Materials for Weapons Systems,,Air Force,RDT&E,
,"$15,000",$0,"$18,000",altitude chamber infrastructure upgrades,,,No,Yes,No,Aerospace Propulsion and Power Technology,,Air Force,RDT&E,
,"$18,000",$0,"$18,000",joint research laboratories,,,No,Yes,No,Defense Research Sciences,,Army,RDT&E,
,$0,"$18,000","$18,000",High speed missile materials,,,No,Yes,No,Long Range Precision Fires Technology,,Army,RDT&E,
,$0,$0,"$18,000",accountability bookkeeping dashboard,,,Yes,Yes,No,Defense Innovation Unit (DIU) Prototyping,,Defense Wide,RDT&E,
,"$18,000",$0,"$18,000",radioisotope power systems,,,No,Yes,No,Operational Energy Capability Improvement,,Defense Wide,RDT&E,
,$0,"$17,000","$17,000",ARCHER North Warning System,,,No,No,NORTHCOM,Comm Elect Mods,"Other Procurement, Air Force",Air Force,Procurement,
,$0,"$17,000","$17,000",Academic accelerator program,,,No,Yes,No,Soldier Lethality Technology,,Army,RDT&E,
,"$16,500",$0,"$16,500",data security improvements,,,No,Yes,No,Major T&E Investment,,Navy,RDT&E,
,$0,"$6,000","$16,000",All source data fusion platform,,,No,Yes,No,Security and Intelligence Activities,,Army,RDT&E,
,$0,"$16,000","$16,000",Manufacturing of advanced components for hypersonics,,,No,Yes,No,Defense-Wide Manufacturing Science and Technology Program,,Defense Wide,RDT&E,
,"$15,000","$15,000","$15,000",hybrid enhanced ballistic protection system,,,No,Yes,No,CH-47 Cargo Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,
,$0,$0,"$15,000",lightweight ballistic protection systems,,,Yes,Yes,No,CH-47 Cargo Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,
,"$15,000","$2,000","$15,000",60kVA generators for UH-60,,,No,No,No,Utility Helicopter Mods,"Aircraft Procurement, Army",Army,Procurement,
,"$15,000",$0,"$15,000",Land mobile radios,,,No,No,No,Base Support Communications,"Other Procurement, Army",Army,Procurement,
,$0,"$18,000","$15,000",Rough terrain crane handler service life extension program,,,No,Yes,No,Modification of In Svc Equipment (OPA-3),"Other Procurement, Army",Army,Procurement,
,"$15,000",$0,"$15,000",CROWS-AHD,,,No,Yes,No,Common Remotely Operated Weapons Station (CROWS),"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,"$15,000","$2,000","$15,000",degraded visual environment pilotage system,,,No,Yes,No,Rotary Wing Upgrades and Sustainment,"Procurement, Defense Wide",Defense Wide,Procurement,
,$0,$0,"$15,000",Project 7/11 modular operations cells,,,Yes,Yes,Marine Corps,Trailers,"Procurement, Marine Corps",Navy,Procurement,
,$0,"$15,000","$15,000",Cyber kinetic combat environment,,,No,Yes,No,Aerospace Sensors,,Air Force,RDT&E,
,"$15,000",$0,"$15,000",PFAS destruction technology,,,No,Yes,No,Agile Combat Support,,Air Force,RDT&E,
,$0,$0,"$15,000",Mobile air traffic surveillance system,,,Yes,Yes,No,"Air Traffic Control, Approach, and Landing System (ATCALS)",,Air Force,RDT&E,
,"$15,000",$0,"$15,000",persistent wide-area moving target engagement,,,No,Yes,No,Airborne Reconnaissance Systems,,Air Force,RDT&E,
,$0,"$15,000","$15,000",NC3 Network Sensor Demonstration,,,No,Yes,No,"Command, Control, Communication, and Computers (C4)--STRATCOM",,Air Force,RDT&E,
,"$15,000","$5,000","$15,000",ion trap quantum computing,,,No,Yes,No,Dominant Information Sciences and Methods,,Air Force,RDT&E,
,"$15,000",$0,"$15,000",cybersecurity of serial data bus,,,No,Yes,No,F-22 Squadrons,,Air Force,RDT&E,
,"$15,000",$0,"$15,000",multi-function sensor,,,No,Yes,No,KC-135S,,Air Force,RDT&E,
,"$15,000",$0,"$15,000",vertical integration of scramjet supply chain,,,No,Yes,No,Manufacturing Technology Program,,Air Force,RDT&E,
,"$15,000",$0,"$15,000",man-portable tactical laser communications,,,No,Yes,No,Tactical Air Control Party-Mod,,Air Force,RDT&E,
,$0,"$15,000","$15,000",Beam control systems and industry grade optical fiber fabrication for energy laser,,,No,Yes,No,Air and Missile Defense Technology,,Army,RDT&E,
,$0,"$15,000","$15,000",AltNav capability,,,No,No,No,"Assured Positioning, Navigation and Timing [PNT]",,Army,RDT&E,
,"$15,000","$5,000","$15,000",mounted mission command-transport / Mounted mission control,,,No,No,No,"Command, Control, Communications Systems--Eng Dev",,Army,RDT&E,
,"$5,000","$15,000","$15,000",rapid advanced deposition,,,No,Yes,No,Ground Technology,,Army,RDT&E,
,"$15,000",$0,"$15,000",human performance optimization,,,No,Yes,No,Medical Technology,,Army,RDT&E,
,$0,"$15,000","$15,000",Physiological study of female warfighters to improve training,,,No,Yes,No,Medical Technology,,Army,RDT&E,
,$0,"$15,000","$15,000",C5ISR modular open suite of standards integration,,,No,Yes,No,Network C3I Advanced Technology,,Army,RDT&E,
,$0,$0,"$15,000",driver vision enhancement with sensor fusion technology,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$15,000",$0,"$15,000",30mm proximity ammunition qualification for AH-64,,,No,Yes,No,Tank and Medium Caliber Ammunition,,Army,RDT&E,
,$0,"$15,000","$15,000",Low-cost hypersonic flight test bed,,,No,Yes,No,Ballistic Missile Defense Targets,,Defense Wide,RDT&E,
,"$15,000",$0,"$15,000",innovation with academia,,,No,Yes,No,Defense Innovation Unit (DIU),,Defense Wide,RDT&E,
,"$15,000",$0,"$15,000",cyber institutes at senior military colleges,,,No,Yes,No,Information Systems Security Program,,Defense Wide,RDT&E,
,"$15,000",$0,"$15,000",loitering munitions,,,No,Yes,SOCOM,Operational Enhancements,,Defense Wide,RDT&E,
,"$15,000",$0,"$15,000",enhanced hypersonic testing capabilities in collaboration with NASA,,,No,Yes,No,Test and Evaluation Science Technology,,Defense Wide,RDT&E,
,$0,$0,"$15,000",Overmatch,,,Yes,No,No,Automated Test and Re-Test (ATRT),,Navy,RDT&E,
,$0,"$15,000","$15,000",100KW directed energy production,,,No,Yes,No,Directed Energy and Electric Weapon Systems,,Navy,RDT&E,
,$0,$0,"$15,000",ATRT enterprise,,,Yes,Yes,No,Innovative Naval Prototypes (INP) Applied Research,,Navy,RDT&E,
,"$15,000",$0,"$15,000",naval tech bridges,,,No,Yes,No,Navy Warfighting Experiments and Demonstrations,,Navy,RDT&E,
,"$15,000",$0,"$15,000",sea-based UAS logistics demonstration,,,No,Yes,No,Warfare Support System,,Navy,RDT&E,
,"$14,800",$0,"$14,800",operational additive manufacturing capabilities,,,No,Yes,No,Tech Transition Program,,Air Force,RDT&E,
,"$14,750",$0,"$14,750",aircraft autonomy,,,No,Yes,No,Defense Innovation Unit (DIU) Prototyping,,Defense Wide,RDT&E,
,$0,$0,"$14,700",AUKUS and coalition warfare,,,Yes,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,"$14,300",$0,"$14,300",advancing operational test infrastructure,,,No,Yes,No,Major T&E Investment,,Army,RDT&E,
,"$10,000",$0,"$14,000",clean modular hydropower,,,No,Yes,No,Ground Advanced Technology,,Army,RDT&E,
,"$13,932","$14,000","$14,000",Program increase,,,No,No,No,Humanitarian Demining,,Army,RDT&E,
,$0,"$14,000","$14,000",Robotic electric submersible vehicles,,,No,Yes,No,Lethality Advanced Technology,,Army,RDT&E,
,$0,$0,"$14,000",Joint Forces Headquarters - DOD information network cyber defensive operations and training,,,Yes,No,No,Cyberspace Operations Forces and Force Support,,Defense Wide,RDT&E,
,$0,"$14,000","$14,000",Stratospheric balloon research,,,No,Yes,No,Naval Integrated Fire Control--Counter Air Systems Engineering,,Navy,RDT&E,
,$0,$0,"$13,500",Program increase,,,Yes,No,No,Warfare Support System,,Navy,RDT&E,
,"$13,000","$5,000","$13,000",advanced combat engine,,,No,No,No,Armored System Modernization--Adv Dev,,Army,RDT&E,
,"$13,000",$0,"$13,000",3D printing of ballistic ceramics,,,No,Yes,No,End Item Industrial Preparedness Activities,,Army,RDT&E,
,"$13,000",$0,"$13,000",digital engineering,,,No,Yes,No,Defense Innovation Unit (DIU) Fielding,,Defense Wide,RDT&E,
,$0,"$13,000","$13,000",Wave energy converters,,,No,Yes,No,Navy Energy Program,,Navy,RDT&E,
,$0,"$12,500","$12,500",Low-cost small turbine engine,,,No,Yes,No,Aerospace Propulsion,,Air Force,RDT&E,
,$0,$0,"$12,500",semiautonomous collaborative platforms,,,Yes,Yes,No,Autonomous Collaborative Platforms,,Air Force,RDT&E,
,"$12,500",$0,"$12,500",advanced semiconductor power devices,,,No,Yes,No,Lethality Technology,,Army,RDT&E,
,"$7,500","$12,500","$12,500",advanced manufacturing center of excellence,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,"$5,000",$0,"$12,500",replacement of foreign engines for aerial targets,,,No,Yes,No,Target Systems Development,,Army,RDT&E,
,"$12,500",$0,"$12,500",CSOC extended regional cyber spoke,,,No,Yes,No,Threat Simulator Development,,Army,RDT&E,
,"$6,500","$12,500","$12,500",talent and technology for Navy power and energy systems,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$12,500",$0,"$12,500",MCWL multi-int targeting pod,,,No,Yes,No,USMC Advanced Technology Demonstration [ATD],,Navy,RDT&E,
,$0,"$12,075","$12,075",M240 medium machine gun,,,No,No,No,M240 Medium Machine Gun (7.62 mm),"Procurement of Weapons and Tracked Combat Vehicles, Army",Army,Procurement,
,$0,"$12,000","$12,000",Training and equipment for KC-135 classic associations,,,No,Yes,No,Aircraft Replacement Support Equipment,"Aircraft Procurement, Air Force",Air Force,Procurement,
,$0,"$12,000","$12,000",Snow removal equipment for arctic operations,,,No,Yes,No,Runway Snow Remov and Cleaning Equ,"Other Procurement, Air Force",Air Force,Procurement,
,"$12,000",$0,"$12,000",aviation mission common server,,,No,No,No,Network and Mission Plan,"Aircraft Procurement, Army",Army,Procurement,
,"$12,000",$0,"$12,000",intelligent multi-platform swarm defeat,,,No,Yes,No,Army Integrated Air and Missile Defense (AIAMD),,Army,RDT&E,
,"$10,000","$12,000","$12,000","Army executive agent program / Army executive agent program, microreactors",,,No,Yes,No,Logistics and Engineer Equipment--Adv Dev,,Army,RDT&E,
,$0,"$12,000","$12,000","Deployable, energy efficient, rigid wall shelter",,,No,Yes,No,Logistics and Engineer Equipment--Eng Dev,,Army,RDT&E,
,$0,"$12,000","$12,000",Advanced materials applications,,,No,Yes,No,Next Generation Combat Vehicle Advanced Technology,,Army,RDT&E,
,$0,"$12,000","$12,000",Development and testing software for 155 mm round production,,,No,Yes,No,Weapons and Munitions Product Improvement Programs,,Army,RDT&E,
,"$12,000",$0,"$12,000",radiation hardened microelectronics testing facility,,,No,Yes,No,Advanced Research,,Defense Wide,RDT&E,
,$0,"$12,000","$12,000",Next-generation electronic countermeasures,,,No,No,No,Warrior Systems,,Defense Wide,RDT&E,
,"$12,000",$0,"$12,000",minotaur data dissemination and interoperability services,,,No,Yes,No,Advanced Combat Systems Technology,,Navy,RDT&E,
,$0,"$12,000","$12,000",Multi-material flexible automated manufacturing,,,No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,
,"$12,000",$0,"$12,000",military dental research,,,No,Yes,No,Medical Development,,Navy,RDT&E,
